"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Sep 12 17:54:31 CAT 2021","Sun Sep 12 17:54:37 CAT 2021","5933","","Visual regression test for Sports betting Home Page","","Visual regression test for Sports betting Home Page","Sports-betting : Home Page Test","Sports-betting : Home Page Test",""
"broken","Sun Sep 12 17:54:37 CAT 2021","Sun Sep 12 17:55:04 CAT 2021","26275","","Visual regression test for Sports betting Home Page","","Visual regression test for Sports betting Home Page","Sports-betting : Login Page","Sports-betting : Login Page",""
